time,omega,k,h,实际位移m,速度m/s
0,6.40703863,4.188790205,10,0,0
0.016666667,6.40703863,4.188790205,10,1.80E-05,0.001082156
0.033333333,6.40703863,4.188790205,10,1.80E-05,-5.18E-07
0.05,6.40703863,4.188790205,10,1.80E-05,-1.25E-06
0.066666667,6.40703863,4.188790205,10,8.10E-05,0.003782533
0.083333333,6.40703863,4.188790205,10,8.10E-05,-2.79E-06
0.1,6.40703863,4.188790205,10,8.10E-05,-9.30E-07
0.116666667,6.40703863,4.188790205,10,8.11E-05,4.65E-06
0.133333333,6.40703863,4.188790205,10,8.11E-05,3.73E-06
0.15,6.40703863,4.188790205,10,0.000116614,0.002129283
0.166666667,6.40703863,4.188790205,10,0.000116836,1.33E-05
0.183333333,6.40703863,4.188790205,10,0.00014164,0.001488198
0.2,6.40703863,4.188790205,10,0.000346182,0.012272563
0.216666667,6.40703863,4.188790205,10,0.000400929,0.00328478
0.233333333,6.40703863,4.188790205,10,0.0004003,-3.77E-05
0.25,6.40703863,4.188790205,10,0.000517521,0.007033215
0.266666667,6.40703863,4.188790205,10,0.000543723,0.001572125
0.283333333,6.40703863,4.188790205,10,0.000542473,-7.50E-05
0.3,6.40703863,4.188790205,10,0.000540967,-9.04E-05
0.316666667,6.40703863,4.188790205,10,0.000744193,0.012193573
0.333333333,6.40703863,4.188790205,10,0.000743163,-6.18E-05
0.35,6.40703863,4.188790205,10,0.000671357,-0.004308358
0.366666667,6.40703863,4.188790205,10,0.000745063,0.004422346
0.383333333,6.40703863,4.188790205,10,0.00074429,-4.64E-05
0.4,6.40703863,4.188790205,10,0.000772151,0.001671689
0.416666667,6.40703863,4.188790205,10,0.000994972,0.013369212
0.433333333,6.40703863,4.188790205,10,0.001165804,0.010249936
0.45,6.40703863,4.188790205,10,0.001481883,0.01896472
0.466666667,6.40703863,4.188790205,10,0.001505299,0.001404991
0.483333333,6.40703863,4.188790205,10,0.001569197,0.003833859
0.5,6.40703863,4.188790205,10,0.002104997,0.032148025
0.516666667,6.40703863,4.188790205,10,0.002215709,0.006642735
0.533333333,6.40703863,4.188790205,10,0.002296229,0.004831188
0.55,6.40703863,4.188790205,10,0.0026563,0.021604274
0.566666667,6.40703863,4.188790205,10,0.002849312,0.011580665
0.583333333,6.40703863,4.188790205,10,0.003376585,0.031636416
0.6,6.40703863,4.188790205,10,0.003517106,0.008431232
0.616666667,6.40703863,4.188790205,10,0.003897318,0.022812759
0.633333333,6.40703863,4.188790205,10,0.004051636,0.009259076
0.65,6.40703863,4.188790205,10,0.004194886,0.008594976
0.666666667,6.40703863,4.188790205,10,0.004895017,0.042007853
0.683333333,6.40703863,4.188790205,10,0.005005418,0.0066241
0.7,6.40703863,4.188790205,10,0.005328159,0.019364462
0.716666667,6.40703863,4.188790205,10,0.005430635,0.006148516
0.733333333,6.40703863,4.188790205,10,0.005440451,0.000588985
0.75,6.40703863,4.188790205,10,0.005592025,0.009094411
0.766666667,6.40703863,4.188790205,10,0.006160689,0.034119876
0.783333333,6.40703863,4.188790205,10,0.006295841,0.008109102
0.8,6.40703863,4.188790205,10,0.006532933,0.01422551
0.816666667,6.40703863,4.188790205,10,0.006526414,-0.000391138
0.833333333,6.40703863,4.188790205,10,0.006820266,0.017631115
0.85,6.40703863,4.188790205,10,0.006838888,0.001117335
0.866666667,6.40703863,4.188790205,10,0.007232476,0.023615311
0.883333333,6.40703863,4.188790205,10,0.007217527,-0.000896981
0.9,6.40703863,4.188790205,10,0.007870845,0.03919912
0.916666667,6.40703863,4.188790205,10,0.007886845,0.000959948
0.933333333,6.40703863,4.188790205,10,0.007924679,0.002270046
0.95,6.40703863,4.188790205,10,0.00793133,0.000399075
0.966666667,6.40703863,4.188790205,10,0.008035343,0.006240759
0.983333333,6.40703863,4.188790205,10,0.008280501,0.014709511
1,6.40703863,4.188790205,10,0.008596793,0.018977528
1.016666667,6.40703863,4.188790205,10,0.008658696,0.003714177
1.033333333,6.40703863,4.188790205,10,0.008657235,-8.76E-05
1.05,6.40703863,4.188790205,10,0.008730257,0.00438131
1.066666667,6.40703863,4.188790205,10,0.009404803,0.040472752
1.083333333,6.40703863,4.188790205,10,0.009415905,0.000666105
1.1,6.40703863,4.188790205,10,0.009472799,0.003413652
1.116666667,6.40703863,4.188790205,10,0.009446962,-0.001550214
1.133333333,6.40703863,4.188790205,10,0.010158542,0.04269476
1.15,6.40703863,4.188790205,10,0.010177749,0.001152473
1.166666667,6.40703863,4.188790205,10,0.010175361,-0.000143313
1.183333333,6.40703863,4.188790205,10,0.010256319,0.004857468
1.2,6.40703863,4.188790205,10,0.010227257,-0.001743708
1.216666667,6.40703863,4.188790205,10,0.010306274,0.004741048
1.233333333,6.40703863,4.188790205,10,0.010277824,-0.001706991
1.25,6.40703863,4.188790205,10,0.010272002,-0.00034935
1.266666667,6.40703863,4.188790205,10,0.010671379,0.023962598
1.283333333,6.40703863,4.188790205,10,0.010678351,0.000418344
1.3,6.40703863,4.188790205,10,0.010677011,-8.04E-05
1.316666667,6.40703863,4.188790205,10,0.010740107,0.003785737
1.333333333,6.40703863,4.188790205,10,0.010742752,0.000158684
1.35,6.40703863,4.188790205,10,0.011131079,0.023299617
1.366666667,6.40703863,4.188790205,10,0.011102237,-0.001730491
1.383333333,6.40703863,4.188790205,10,0.011097073,-0.000309821
1.4,6.40703863,4.188790205,10,0.011196428,0.005961296
1.416666667,6.40703863,4.188790205,10,0.01116685,-0.001774719
1.433333333,6.40703863,4.188790205,10,0.011190397,0.00141285
1.45,6.40703863,4.188790205,10,0.01118991,-2.93E-05
1.466666667,6.40703863,4.188790205,10,0.011188215,-0.000101674
1.483333333,6.40703863,4.188790205,10,0.01127048,0.004935925
1.5,6.40703863,4.188790205,10,0.011428838,0.009501465
1.516666667,6.40703863,4.188790205,10,0.011430039,7.20E-05
1.533333333,6.40703863,4.188790205,10,0.011433316,0.000196597
