time,omega,k,h,实际位移m,速度m/s
0,6.40703863,4.188790205,10,0,0
0.016666667,6.40703863,4.188790205,10,3.58E-05,0.002148605
0.033333333,6.40703863,4.188790205,10,0.000336662,0.018051122
0.05,6.40703863,4.188790205,10,0.00032569,-0.000658316
0.066666667,6.40703863,4.188790205,10,0.001215667,0.053398583
0.083333333,6.40703863,4.188790205,10,0.001219046,0.000202758
0.1,6.40703863,4.188790205,10,0.001547133,0.019685248
0.116666667,6.40703863,4.188790205,10,0.001742905,0.011746298
0.133333333,6.40703863,4.188790205,10,0.00174436,8.73E-05
0.15,6.40703863,4.188790205,10,0.001749876,0.000330947
0.166666667,6.40703863,4.188790205,10,0.002523673,0.046427868
0.183333333,6.40703863,4.188790205,10,0.002522863,-4.86E-05
0.2,6.40703863,4.188790205,10,0.002649354,0.007589446
0.216666667,6.40703863,4.188790205,10,0.002651121,0.000106031
0.233333333,6.40703863,4.188790205,10,0.002808491,0.00944222
0.25,6.40703863,4.188790205,10,0.002808757,1.60E-05
0.266666667,6.40703863,4.188790205,10,0.002808212,-3.27E-05
0.283333333,6.40703863,4.188790205,10,0.002941093,0.007972893
0.3,6.40703863,4.188790205,10,0.002941397,1.82E-05
0.316666667,6.40703863,4.188790205,10,0.002944537,0.00018836
0.333333333,6.40703863,4.188790205,10,0.002944244,-1.75E-05
0.35,6.40703863,4.188790205,10,0.002946544,0.000138008
0.366666667,6.40703863,4.188790205,10,0.003653618,0.0424244
0.383333333,6.40703863,4.188790205,10,0.003653645,1.66E-06
0.4,6.40703863,4.188790205,10,0.003651344,-0.000138083
0.416666667,6.40703863,4.188790205,10,0.003703961,0.003157001
0.433333333,6.40703863,4.188790205,10,0.003704423,2.78E-05
0.45,6.40703863,4.188790205,10,0.003704488,3.88E-06
0.466666667,6.40703863,4.188790205,10,0.003704206,-1.69E-05
0.483333333,6.40703863,4.188790205,10,0.003704068,-8.26E-06
0.5,6.40703863,4.188790205,10,0.004168942,0.027892403
0.516666667,6.40703863,4.188790205,10,0.00416859,-2.11E-05
0.533333333,6.40703863,4.188790205,10,0.00416782,-4.62E-05
0.55,6.40703863,4.188790205,10,0.004168616,4.77E-05
0.566666667,6.40703863,4.188790205,10,0.004168332,-1.70E-05
0.583333333,6.40703863,4.188790205,10,0.004168373,2.42E-06
0.6,6.40703863,4.188790205,10,0.004193859,0.001529174
0.616666667,6.40703863,4.188790205,10,0.004195093,7.41E-05
0.633333333,6.40703863,4.188790205,10,0.004463885,0.016127496
0.65,6.40703863,4.188790205,10,0.00467378,0.012593677
