time,omega,k,h,实际位移m,速度m/s
0,5.085429257,2.638937829,10,0,0
0.016666667,5.085429257,2.638937829,10,0.000176042,0.01056251
0.033333333,5.085429257,2.638937829,10,0.000611195,0.026109216
0.05,5.085429257,2.638937829,10,0.000610971,-1.35E-05
0.066666667,5.085429257,2.638937829,10,0.001184211,0.034394452
0.083333333,5.085429257,2.638937829,10,0.001184308,5.81E-06
0.1,5.085429257,2.638937829,10,0.001233869,0.00297367
0.116666667,5.085429257,2.638937829,10,0.001756809,0.031376384
0.133333333,5.085429257,2.638937829,10,0.001818254,0.003686664
0.15,5.085429257,2.638937829,10,0.001866229,0.002878503
0.166666667,5.085429257,2.638937829,10,0.002248967,0.022964291
0.183333333,5.085429257,2.638937829,10,0.002363928,0.006897652
0.2,5.085429257,2.638937829,10,0.002362969,-5.75E-05
0.216666667,5.085429257,2.638937829,10,0.002569134,0.012369916
0.233333333,5.085429257,2.638937829,10,0.002925656,0.021391325
0.25,5.085429257,2.638937829,10,0.0029359,0.000614652
0.266666667,5.085429257,2.638937829,10,0.003108095,0.010331692
0.283333333,5.085429257,2.638937829,10,0.003108095,0
0.3,5.085429257,2.638937829,10,0.003344755,0.014199584
0.316666667,5.085429257,2.638937829,10,0.00339225,0.002849712
0.333333333,5.085429257,2.638937829,10,0.003392288,2.25E-06
0.35,5.085429257,2.638937829,10,0.003545738,0.009207043
0.366666667,5.085429257,2.638937829,10,0.00354578,2.51E-06
0.383333333,5.085429257,2.638937829,10,0.003651309,0.006331754
0.4,5.085429257,2.638937829,10,0.003651309,0
0.416666667,5.085429257,2.638937829,10,0.003721277,0.004198034
0.433333333,5.085429257,2.638937829,10,0.003890767,0.010169448
0.45,5.085429257,2.638937829,10,0.003892889,0.000127275
0.466666667,5.085429257,2.638937829,10,0.003894148,7.56E-05
0.483333333,5.085429257,2.638937829,10,0.003987378,0.005593767
0.5,5.085429257,2.638937829,10,0.003934358,-0.003181179
0.516666667,5.085429257,2.638937829,10,0.003934358,0
0.533333333,5.085429257,2.638937829,10,0.004220275,0.017155014
0.55,5.085429257,2.638937829,10,0.003897185,-0.019385426
0.566666667,5.085429257,2.638937829,10,0.004191537,0.017661121
0.583333333,5.085429257,2.638937829,10,0.004191067,-2.82E-05
0.6,5.085429257,2.638937829,10,0.00377274,-0.025099624
0.616666667,5.085429257,2.638937829,10,0.004091036,0.019097817
0.633333333,5.085429257,2.638937829,10,0.004091138,6.06E-06
0.65,5.085429257,2.638937829,10,0.003955037,-0.008166028
0.666666667,5.085429257,2.638937829,10,0.004072068,0.007021885
0.683333333,5.085429257,2.638937829,10,0.004002374,-0.004181697
0.7,5.085429257,2.638937829,10,0.004311881,0.018570452
0.716666667,5.085429257,2.638937829,10,0.004445626,0.008024703
0.733333333,5.085429257,2.638937829,10,0.004493357,0.002863836
0.75,5.085429257,2.638937829,10,0.004436391,-0.003417964
0.766666667,5.085429257,2.638937829,10,0.004998339,0.033716909
0.783333333,5.085429257,2.638937829,10,0.005331182,0.019970552
0.8,5.085429257,2.638937829,10,0.005450968,0.007187177
0.816666667,5.085429257,2.638937829,10,0.005731543,0.016834483
0.833333333,5.085429257,2.638937829,10,0.005963186,0.013898623
0.85,5.085429257,2.638937829,10,0.006211277,0.014885407
0.866666667,5.085429257,2.638937829,10,0.006463219,0.015116544
0.883333333,5.085429257,2.638937829,10,0.006463692,2.84E-05
0.9,5.085429257,2.638937829,10,0.007324886,0.051671649
0.916666667,5.085429257,2.638937829,10,0.00764168,0.019007656
0.933333333,5.085429257,2.638937829,10,0.007947268,0.01833523
0.95,5.085429257,2.638937829,10,0.008151431,0.012249807
0.966666667,5.085429257,2.638937829,10,0.008145852,-0.000334724
0.983333333,5.085429257,2.638937829,10,0.008737948,0.035525728
1,5.085429257,2.638937829,10,0.009144219,0.024376247
1.016666667,5.085429257,2.638937829,10,0.009140466,-0.000225152
1.033333333,5.085429257,2.638937829,10,0.009811714,0.040274857
1.05,5.085429257,2.638937829,10,0.00981662,0.000294371
1.066666667,5.085429257,2.638937829,10,0.010330996,0.030862564
1.083333333,5.085429257,2.638937829,10,0.010340151,0.000549321
1.1,5.085429257,2.638937829,10,0.010540049,0.011993849
1.116666667,5.085429257,2.638937829,10,0.010896623,0.021394438
1.133333333,5.085429257,2.638937829,10,0.011465877,0.034155251
1.15,5.085429257,2.638937829,10,0.011466094,1.30E-05
1.166666667,5.085429257,2.638937829,10,0.011706186,0.014405483
1.183333333,5.085429257,2.638937829,10,0.011931045,0.013491579
1.2,5.085429257,2.638937829,10,0.012410718,0.02878037
1.216666667,5.085429257,2.638937829,10,0.012807811,0.023825564
1.233333333,5.085429257,2.638937829,10,0.01335139,0.03261473
1.25,5.085429257,2.638937829,10,0.0138025,0.027066604
1.266666667,5.085429257,2.638937829,10,0.0139265,0.007440045
1.283333333,5.085429257,2.638937829,10,0.014405934,0.028766019
1.3,5.085429257,2.638937829,10,0.014885898,0.028797831
1.316666667,5.085429257,2.638937829,10,0.015157192,0.016277646
1.333333333,5.085429257,2.638937829,10,0.015685143,0.031677027
1.35,5.085429257,2.638937829,10,0.016082234,0.023825497
1.366666667,5.085429257,2.638937829,10,0.016205365,0.007387825
1.383333333,5.085429257,2.638937829,10,0.016814691,0.036559574
1.4,5.085429257,2.638937829,10,0.017065166,0.015028519
1.416666667,5.085429257,2.638937829,10,0.017864246,0.047944765
1.433333333,5.085429257,2.638937829,10,0.018088526,0.013456845
1.45,5.085429257,2.638937829,10,0.018520734,0.025932465
1.466666667,5.085429257,2.638937829,10,0.019294022,0.046397267
1.483333333,5.085429257,2.638937829,10,0.019370187,0.004569922
1.5,5.085429257,2.638937829,10,0.020194697,0.049470586
1.516666667,5.085429257,2.638937829,10,0.020586926,0.023533756
1.533333333,5.085429257,2.638937829,10,0.021193404,0.03638869
1.55,5.085429257,2.638937829,10,0.02162518,0.025906549
1.566666667,5.085429257,2.638937829,10,0.021954146,0.019737956
