time,omega,k,h,实际位移m,速度m/s
0,5.085429257,2.638937829,10,0,0
0.016666667,5.085429257,2.638937829,10,0.000136161,0.008169631
0.033333333,5.085429257,2.638937829,10,0.000231,0.005690345
0.05,5.085429257,2.638937829,10,0.000669204,0.026292236
0.066666667,5.085429257,2.638937829,10,0.000842922,0.010423079
0.083333333,5.085429257,2.638937829,10,0.00096342,0.007229924
0.1,5.085429257,2.638937829,10,0.001023844,0.003625435
0.116666667,5.085429257,2.638937829,10,0.001022472,-8.23E-05
0.133333333,5.085429257,2.638937829,10,0.001418588,0.023766961
0.15,5.085429257,2.638937829,10,0.001472533,0.003236712
0.166666667,5.085429257,2.638937829,10,0.00165543,0.010973782
0.183333333,5.085429257,2.638937829,10,0.001768924,0.00680968
0.2,5.085429257,2.638937829,10,0.00185038,0.004887319
0.216666667,5.085429257,2.638937829,10,0.001932145,0.004905938
0.233333333,5.085429257,2.638937829,10,0.00189631,-0.002150105
0.25,5.085429257,2.638937829,10,0.002136568,0.014415471
0.266666667,5.085429257,2.638937829,10,0.00224105,0.006268907
0.283333333,5.085429257,2.638937829,10,0.002189182,-0.003112074
0.3,5.085429257,2.638937829,10,0.002576576,0.023243657
0.316666667,5.085429257,2.638937829,10,0.002574571,-0.000120332
0.333333333,5.085429257,2.638937829,10,0.002575779,7.25E-05
0.35,5.085429257,2.638937829,10,0.002726104,0.009019526
0.366666667,5.085429257,2.638937829,10,0.003261463,0.032121521
0.383333333,5.085429257,2.638937829,10,0.0031904,-0.004263786
0.4,5.085429257,2.638937829,10,0.003230435,0.002402106
0.416666667,5.085429257,2.638937829,10,0.003404461,0.010441569
0.433333333,5.085429257,2.638937829,10,0.003367815,-0.002198748
0.45,5.085429257,2.638937829,10,0.003589301,0.013289159
0.466666667,5.085429257,2.638937829,10,0.00443507,0.050746149
0.483333333,5.085429257,2.638937829,10,0.004404495,-0.001834533
0.5,5.085429257,2.638937829,10,0.004177515,-0.013618785
0.516666667,5.085429257,2.638937829,10,0.004181675,0.000249582
0.533333333,5.085429257,2.638937829,10,0.004817562,0.038153213
0.55,5.085429257,2.638937829,10,0.004954104,0.008192542
0.566666667,5.085429257,2.638937829,10,0.004927073,-0.001621831
0.583333333,5.085429257,2.638937829,10,0.004924983,-0.000125404
0.6,5.085429257,2.638937829,10,0.005690344,0.045921612
0.616666667,5.085429257,2.638937829,10,0.005644381,-0.002757733
0.633333333,5.085429257,2.638937829,10,0.006180697,0.032178945
0.65,5.085429257,2.638937829,10,0.006852891,0.040331613
0.666666667,5.085429257,2.638937829,10,0.006939948,0.005223437
0.683333333,5.085429257,2.638937829,10,0.006978933,0.002339119
0.7,5.085429257,2.638937829,10,0.007347214,0.022096846
0.716666667,5.085429257,2.638937829,10,0.007317103,-0.001806647
0.733333333,5.085429257,2.638937829,10,0.008208776,0.053500374
0.75,5.085429257,2.638937829,10,0.008204721,-0.000243297
0.766666667,5.085429257,2.638937829,10,0.008204978,1.54E-05
0.783333333,5.085429257,2.638937829,10,0.009018278,0.048798014
0.8,5.085429257,2.638937829,10,0.008961209,-0.003424169
0.816666667,5.085429257,2.638937829,10,0.009823763,0.051753268
0.833333333,5.085429257,2.638937829,10,0.009824057,1.76E-05
0.85,5.085429257,2.638937829,10,0.010092249,0.016091524
0.866666667,5.085429257,2.638937829,10,0.010732025,0.038386514
0.883333333,5.085429257,2.638937829,10,0.010917739,0.011142856
0.9,5.085429257,2.638937829,10,0.011246658,0.019735175
0.916666667,5.085429257,2.638937829,10,0.011437472,0.011448832
0.933333333,5.085429257,2.638937829,10,0.012107446,0.040198409
0.95,5.085429257,2.638937829,10,0.012109554,0.000126468
0.966666667,5.085429257,2.638937829,10,0.012943481,0.050035649
0.983333333,5.085429257,2.638937829,10,0.013010102,0.003997262
1,5.085429257,2.638937829,10,0.013676668,0.039993966
1.016666667,5.085429257,2.638937829,10,0.013919334,0.014559917
1.033333333,5.085429257,2.638937829,10,0.014289131,0.022187854
1.05,5.085429257,2.638937829,10,0.014366828,0.004661798
1.066666667,5.085429257,2.638937829,10,0.014999014,0.037931202
1.083333333,5.085429257,2.638937829,10,0.015119012,0.007199873
1.1,5.085429257,2.638937829,10,0.015234814,0.006948103
1.116666667,5.085429257,2.638937829,10,0.016060172,0.04952147
1.133333333,5.085429257,2.638937829,10,0.016273378,0.012792382
1.15,5.085429257,2.638937829,10,0.016596433,0.019383268
1.166666667,5.085429257,2.638937829,10,0.017339864,0.044605859
1.183333333,5.085429257,2.638937829,10,0.017346656,0.000407566
1.2,5.085429257,2.638937829,10,0.018149388,0.048163918
1.216666667,5.085429257,2.638937829,10,0.018290517,0.008467697
1.233333333,5.085429257,2.638937829,10,0.019108265,0.049064918
1.25,5.085429257,2.638937829,10,0.019113022,0.000285398
1.266666667,5.085429257,2.638937829,10,0.019976471,0.051806918
1.283333333,5.085429257,2.638937829,10,0.020307387,0.019855004
1.3,5.085429257,2.638937829,10,0.021210995,0.054216463
1.316666667,5.085429257,2.638937829,10,0.021267262,0.003375996
1.333333333,5.085429257,2.638937829,10,0.022099865,0.049956217
1.35,5.085429257,2.638937829,10,0.022109293,0.000565693
1.366666667,5.085429257,2.638937829,10,0.022813311,0.042241077
1.383333333,5.085429257,2.638937829,10,0.023725188,0.054712595
1.4,5.085429257,2.638937829,10,0.023724443,-4.47E-05
1.416666667,5.085429257,2.638937829,10,0.023724644,1.21E-05
1.433333333,5.085429257,2.638937829,10,0.024602918,0.052696414
1.45,5.085429257,2.638937829,10,0.025336165,0.043994822
1.466666667,5.085429257,2.638937829,10,0.025293863,-0.00253812
1.483333333,5.085429257,2.638937829,10,0.026121679,0.049668947
1.5,5.085429257,2.638937829,10,0.026443733,0.019323262
1.516666667,5.085429257,2.638937829,10,0.026931235,0.029250112
1.533333333,5.085429257,2.638937829,10,0.02726424,0.019980288
1.55,5.085429257,2.638937829,10,0.027782819,0.031114756
1.566666667,5.085429257,2.638937829,10,0.027890476,0.006459453
1.583333333,5.085429257,2.638937829,10,0.028595861,0.04232309
1.6,5.085429257,2.638937829,10,0.028967056,0.022271689
1.616666667,5.085429257,2.638937829,10,0.029140042,0.010379181
1.633333333,5.085429257,2.638937829,10,0.029690608,0.033033911
1.65,5.085429257,2.638937829,10,0.029907859,0.013035078
1.666666667,5.085429257,2.638937829,10,0.03061033,0.042148245
1.683333333,5.085429257,2.638937829,10,0.030776917,0.009995255
1.7,5.085429257,2.638937829,10,0.031213672,0.026205293
1.716666667,5.085429257,2.638937829,10,0.031512241,0.017914116
1.733333333,5.085429257,2.638937829,10,0.03164566,0.008005169
1.75,5.085429257,2.638937829,10,0.032241402,0.035744519
1.766666667,5.085429257,2.638937829,10,0.032610842,0.022166378
1.783333333,5.085429257,2.638937829,10,0.033169185,0.033500576
1.8,5.085429257,2.638937829,10,0.033906909,0.044263441
1.816666667,5.085429257,2.638937829,10,0.033897205,-0.000582212
1.833333333,5.085429257,2.638937829,10,0.03411542,0.013092882
1.85,5.085429257,2.638937829,10,0.034455013,0.020375602
1.866666667,5.085429257,2.638937829,10,0.035492951,0.062276266
1.883333333,5.085429257,2.638937829,10,0.035653378,0.009625611
1.9,5.085429257,2.638937829,10,0.035694518,0.002468405
1.916666667,5.085429257,2.638937829,10,0.036559863,0.051920729
1.933333333,5.085429257,2.638937829,10,0.036813701,0.015230269
1.95,5.085429257,2.638937829,10,0.037827244,0.060812533
1.966666667,5.085429257,2.638937829,10,0.038046903,0.013179599
1.983333333,5.085429257,2.638937829,10,0.038062806,0.000954157
2,5.085429257,2.638937829,10,0.039148736,0.065155809
2.016666667,5.085429257,2.638937829,10,0.039598257,0.026971241
2.033333333,5.085429257,2.638937829,10,0.040634653,0.062183767
2.05,5.085429257,2.638937829,10,0.040642057,0.000444225
2.066666667,5.085429257,2.638937829,10,0.041810423,0.070101948
2.083333333,5.085429257,2.638937829,10,0.042295348,0.029095517
2.1,5.085429257,2.638937829,10,0.043401803,0.066387297
2.116666667,5.085429257,2.638937829,10,0.043807318,0.024330894
2.133333333,5.085429257,2.638937829,10,0.044194073,0.023205298
2.15,5.085429257,2.638937829,10,0.045155336,0.057675802
2.166666667,5.085429257,2.638937829,10,0.045960724,0.048323295
2.183333333,5.085429257,2.638937829,10,0.046364061,0.024200209
2.2,5.085429257,2.638937829,10,0.046797526,0.026007901
2.216666667,5.085429257,2.638937829,10,0.048000665,0.072188306
2.233333333,5.085429257,2.638937829,10,0.048272486,0.0163093
2.25,5.085429257,2.638937829,10,0.048725584,0.027185843
2.266666667,5.085429257,2.638937829,10,0.049380162,0.039274675
2.283333333,5.085429257,2.638937829,10,0.049826762,0.026796013
2.3,5.085429257,2.638937829,10,0.051053613,0.073611082
2.316666667,5.085429257,2.638937829,10,0.051542476,0.029331782
2.333333333,5.085429257,2.638937829,10,0.051899617,0.021428451
2.35,5.085429257,2.638937829,10,0.053107936,0.072499163
2.366666667,5.085429257,2.638937829,10,0.05364788,0.032396622
2.383333333,5.085429257,2.638937829,10,0.054438135,0.04741529
2.4,5.085429257,2.638937829,10,0.055135244,0.04182654
2.416666667,5.085429257,2.638937829,10,0.055839677,0.042266002
