time,omega,k,h,实际位移m,速度m/s
0,6.40703863,4.188790205,10,0,0
0.016666667,6.40703863,4.188790205,10,0.000105128,0.006307696
0.033333333,6.40703863,4.188790205,10,0.000175408,0.004216785
0.05,6.40703863,4.188790205,10,8.54E-05,-0.005400836
0.066666667,6.40703863,4.188790205,10,0.000194662,0.0065561
0.083333333,6.40703863,4.188790205,10,0.000162117,-0.001952737
0.1,6.40703863,4.188790205,10,0.000983323,0.0492724
0.116666667,6.40703863,4.188790205,10,0.000782854,-0.012028141
0.133333333,6.40703863,4.188790205,10,0.000823528,0.002440407
0.15,6.40703863,4.188790205,10,0.000828521,0.000299559
0.166666667,6.40703863,4.188790205,10,0.001417749,0.035353719
0.183333333,6.40703863,4.188790205,10,0.001447885,0.001808171
0.2,6.40703863,4.188790205,10,0.001530267,0.004942919
0.216666667,6.40703863,4.188790205,10,0.001546843,0.000994541
0.233333333,6.40703863,4.188790205,10,0.001853695,0.018411131
0.25,6.40703863,4.188790205,10,0.001756716,-0.00581874
0.266666667,6.40703863,4.188790205,10,0.001845356,0.005318404
0.283333333,6.40703863,4.188790205,10,0.0018826,0.002234633
0.3,6.40703863,4.188790205,10,0.00199766,0.006903608
0.316666667,6.40703863,4.188790205,10,0.001954609,-0.002583082
0.333333333,6.40703863,4.188790205,10,0.002333485,0.022732586
0.35,6.40703863,4.188790205,10,0.002202176,-0.007878574
0.366666667,6.40703863,4.188790205,10,0.002363403,0.009673623
0.383333333,6.40703863,4.188790205,10,0.002094257,-0.016148743
0.4,6.40703863,4.188790205,10,0.002155895,0.003698268
0.416666667,6.40703863,4.188790205,10,0.001959862,-0.011761948
0.433333333,6.40703863,4.188790205,10,0.00214602,0.011169466
0.45,6.40703863,4.188790205,10,0.002059559,-0.005187678
0.466666667,6.40703863,4.188790205,10,0.002222374,0.009768933
0.483333333,6.40703863,4.188790205,10,0.00206846,-0.009234859
0.5,6.40703863,4.188790205,10,0.002370826,0.018141948
0.516666667,6.40703863,4.188790205,10,0.002271567,-0.005955564
0.533333333,6.40703863,4.188790205,10,0.002489478,0.013074664
0.55,6.40703863,4.188790205,10,0.002518688,0.001752635
0.566666667,6.40703863,4.188790205,10,0.003190569,0.040312844
0.583333333,6.40703863,4.188790205,10,0.003204408,0.000830361
0.6,6.40703863,4.188790205,10,0.003258099,0.003221424
0.616666667,6.40703863,4.188790205,10,0.003173414,-0.00508111
0.633333333,6.40703863,4.188790205,10,0.003377873,0.012267547
0.65,6.40703863,4.188790205,10,0.003555713,0.01067044
0.666666667,6.40703863,4.188790205,10,0.003734776,0.010743752
0.683333333,6.40703863,4.188790205,10,0.003745825,0.000662971
0.7,6.40703863,4.188790205,10,0.003946687,0.012051721
0.716666667,6.40703863,4.188790205,10,0.00387443,-0.004335444
0.733333333,6.40703863,4.188790205,10,0.004214439,0.020400559
0.75,6.40703863,4.188790205,10,0.004291945,0.004650344
0.766666667,6.40703863,4.188790205,10,0.004442895,0.009056992
0.783333333,6.40703863,4.188790205,10,0.004396224,-0.002800229
0.8,6.40703863,4.188790205,10,0.004476446,0.004813288
0.816666667,6.40703863,4.188790205,10,0.004822503,0.020763399
0.833333333,6.40703863,4.188790205,10,0.004900579,0.004684617
0.85,6.40703863,4.188790205,10,0.00500437,0.006227417
0.866666667,6.40703863,4.188790205,10,0.005632107,0.037664221
0.883333333,6.40703863,4.188790205,10,0.005446356,-0.011145055
0.9,6.40703863,4.188790205,10,0.005631696,0.011120417
0.916666667,6.40703863,4.188790205,10,0.005630248,-8.69E-05
0.933333333,6.40703863,4.188790205,10,0.005684404,0.003249332
0.95,6.40703863,4.188790205,10,0.006116518,0.025926882
0.966666667,6.40703863,4.188790205,10,0.006270774,0.009255337
0.983333333,6.40703863,4.188790205,10,0.006382417,0.006698569
1,6.40703863,4.188790205,10,0.006656929,0.016470714
1.016666667,6.40703863,4.188790205,10,0.006642882,-0.000842796
1.033333333,6.40703863,4.188790205,10,0.006771609,0.007723604
1.05,6.40703863,4.188790205,10,0.006717894,-0.003222893
1.066666667,6.40703863,4.188790205,10,0.007479382,0.045689297
1.083333333,6.40703863,4.188790205,10,0.007412152,-0.004033803
1.1,6.40703863,4.188790205,10,0.007441866,0.001782833
1.116666667,6.40703863,4.188790205,10,0.007442656,4.74E-05
1.133333333,6.40703863,4.188790205,10,0.007710969,0.016098747
1.15,6.40703863,4.188790205,10,0.007722534,0.000693919
1.166666667,6.40703863,4.188790205,10,0.007936634,0.012846027
1.183333333,6.40703863,4.188790205,10,0.007785684,-0.009057
1.2,6.40703863,4.188790205,10,0.00792191,0.008173552
1.216666667,6.40703863,4.188790205,10,0.008268108,0.020771842
1.233333333,6.40703863,4.188790205,10,0.008394194,0.007565156
1.25,6.40703863,4.188790205,10,0.008329848,-0.003860713
1.266666667,6.40703863,4.188790205,10,0.008376725,0.002812587
1.283333333,6.40703863,4.188790205,10,0.00826951,-0.006432898
1.3,6.40703863,4.188790205,10,0.008371017,0.006090438
1.316666667,6.40703863,4.188790205,10,0.008279863,-0.005469221
1.333333333,6.40703863,4.188790205,10,0.008258395,-0.001288138
1.35,6.40703863,4.188790205,10,0.008579663,0.019276124
1.366666667,6.40703863,4.188790205,10,0.008562152,-0.001050692
1.383333333,6.40703863,4.188790205,10,0.008483598,-0.004713226
1.4,6.40703863,4.188790205,10,0.008592784,0.006551141
1.416666667,6.40703863,4.188790205,10,0.008513864,-0.00473515
1.433333333,6.40703863,4.188790205,10,0.008556325,0.002547647
1.45,6.40703863,4.188790205,10,0.008475418,-0.004854456
1.466666667,6.40703863,4.188790205,10,0.008609002,0.008015034
1.483333333,6.40703863,4.188790205,10,0.008522897,-0.005166251
