time,omega,k,h,实际位移m,速度m/s
0,5.085429257,2.638937829,10,0,0
0.016666667,5.085429257,2.638937829,10,0.000573942,0.034436506
0.033333333,5.085429257,2.638937829,10,0.001040537,0.027995686
0.05,5.085429257,2.638937829,10,0.001105839,0.00391815
0.066666667,5.085429257,2.638937829,10,0.001118339,0.000749987
0.083333333,5.085429257,2.638937829,10,0.001984725,0.051983189
0.1,5.085429257,2.638937829,10,0.001990687,0.000357679
0.116666667,5.085429257,2.638937829,10,0.002017565,0.001612688
0.133333333,5.085429257,2.638937829,10,0.002017559,-3.54E-07
0.15,5.085429257,2.638937829,10,0.002936027,0.055108114
0.166666667,5.085429257,2.638937829,10,0.002936004,-1.39E-06
0.183333333,5.085429257,2.638937829,10,0.002939415,0.000204667
0.2,5.085429257,2.638937829,10,0.0031136,0.010451068
0.216666667,5.085429257,2.638937829,10,0.00334359,0.013799411
0.233333333,5.085429257,2.638937829,10,0.003380524,0.00221601
0.25,5.085429257,2.638937829,10,0.003538711,0.009491252
0.266666667,5.085429257,2.638937829,10,0.003541697,0.000179145
0.283333333,5.085429257,2.638937829,10,0.003654368,0.006760244
0.3,5.085429257,2.638937829,10,0.00365563,7.57E-05
0.316666667,5.085429257,2.638937829,10,0.004018835,0.021792357
0.333333333,5.085429257,2.638937829,10,0.00405546,0.002197462
0.35,5.085429257,2.638937829,10,0.004422738,0.02203666
0.366666667,5.085429257,2.638937829,10,0.004421467,-7.62E-05
0.383333333,5.085429257,2.638937829,10,0.004487428,0.003957687
0.4,5.085429257,2.638937829,10,0.004487449,1.22E-06
0.416666667,5.085429257,2.638937829,10,0.004487088,-2.16E-05
0.433333333,5.085429257,2.638937829,10,0.004432215,-0.003292405
0.45,5.085429257,2.638937829,10,0.004434957,0.000164509
0.466666667,5.085429257,2.638937829,10,0.004448182,0.000793494
0.483333333,5.085429257,2.638937829,10,0.004458786,0.000636271
0.5,5.085429257,2.638937829,10,0.004353781,-0.006300322
0.516666667,5.085429257,2.638937829,10,0.004354396,3.69E-05
0.533333333,5.085429257,2.638937829,10,0.004094865,-0.015571868
0.55,5.085429257,2.638937829,10,0.004224226,0.00776167
0.566666667,5.085429257,2.638937829,10,0.004222489,-0.000104237
0.583333333,5.085429257,2.638937829,10,0.004031457,-0.011461888
0.6,5.085429257,2.638937829,10,0.004006326,-0.001507863
0.616666667,5.085429257,2.638937829,10,0.004222533,0.012972401
0.633333333,5.085429257,2.638937829,10,0.004113451,-0.006544931
0.65,5.085429257,2.638937829,10,0.004415727,0.018136602
0.666666667,5.085429257,2.638937829,10,0.004396111,-0.001176981
0.683333333,5.085429257,2.638937829,10,0.004975449,0.034760266
0.7,5.085429257,2.638937829,10,0.004735684,-0.014385894
0.716666667,5.085429257,2.638937829,10,0.00518847,0.027167186
0.733333333,5.085429257,2.638937829,10,0.005596807,0.024500201
0.75,5.085429257,2.638937829,10,0.005602332,0.000331499
0.766666667,5.085429257,2.638937829,10,0.006440342,0.050280616
0.783333333,5.085429257,2.638937829,10,0.006509896,0.004173235
0.8,5.085429257,2.638937829,10,0.007157022,0.03882757
0.816666667,5.085429257,2.638937829,10,0.007207579,0.003033406
0.833333333,5.085429257,2.638937829,10,0.007775417,0.034070272
0.85,5.085429257,2.638937829,10,0.008300433,0.031500993
0.866666667,5.085429257,2.638937829,10,0.008626007,0.019534414
0.883333333,5.085429257,2.638937829,10,0.009172461,0.032787247
0.9,5.085429257,2.638937829,10,0.009222441,0.002998799
0.916666667,5.085429257,2.638937829,10,0.010040232,0.049067428
0.933333333,5.085429257,2.638937829,10,0.010417247,0.022620911
0.95,5.085429257,2.638937829,10,0.01051488,0.005857999
0.966666667,5.085429257,2.638937829,10,0.01126071,0.044749793
0.983333333,5.085429257,2.638937829,10,0.011434963,0.010455157
1,5.085429257,2.638937829,10,0.012033099,0.035888204
1.016666667,5.085429257,2.638937829,10,0.01205335,0.001215053
1.033333333,5.085429257,2.638937829,10,0.01287132,0.049078207
1.05,5.085429257,2.638937829,10,0.012871425,6.28E-06
1.066666667,5.085429257,2.638937829,10,0.012938994,0.004054131
1.083333333,5.085429257,2.638937829,10,0.013718177,0.046751009
1.1,5.085429257,2.638937829,10,0.013717932,-1.47E-05
1.116666667,5.085429257,2.638937829,10,0.014445211,0.043636761
1.133333333,5.085429257,2.638937829,10,0.014551503,0.0063775
1.15,5.085429257,2.638937829,10,0.014552222,4.31E-05
1.166666667,5.085429257,2.638937829,10,0.015375573,0.049401099
1.183333333,5.085429257,2.638937829,10,0.015376512,5.63E-05
1.2,5.085429257,2.638937829,10,0.015574334,0.011869296
1.216666667,5.085429257,2.638937829,10,0.016176457,0.036127373
1.233333333,5.085429257,2.638937829,10,0.016239474,0.003781035
1.25,5.085429257,2.638937829,10,0.016366203,0.007603758
1.266666667,5.085429257,2.638937829,10,0.017112397,0.044771585
1.283333333,5.085429257,2.638937829,10,0.017263101,0.009042276
1.3,5.085429257,2.638937829,10,0.017341701,0.004715998
1.316666667,5.085429257,2.638937829,10,0.018165236,0.049412102
1.333333333,5.085429257,2.638937829,10,0.018674627,0.030563439
1.35,5.085429257,2.638937829,10,0.018952656,0.016681757
1.366666667,5.085429257,2.638937829,10,0.019586119,0.038007747
1.383333333,5.085429257,2.638937829,10,0.019756177,0.010203489
1.4,5.085429257,2.638937829,10,0.019822676,0.003989943
1.416666667,5.085429257,2.638937829,10,0.020372731,0.033003289
1.433333333,5.085429257,2.638937829,10,0.020794623,0.025313545
1.45,5.085429257,2.638937829,10,0.021331704,0.032224834
1.466666667,5.085429257,2.638937829,10,0.021470417,0.00832279
1.483333333,5.085429257,2.638937829,10,0.022319118,0.050922094
1.5,5.085429257,2.638937829,10,0.022528128,0.012540567
1.516666667,5.085429257,2.638937829,10,0.022626698,0.005914219
1.533333333,5.085429257,2.638937829,10,0.023341128,0.04286579
1.55,5.085429257,2.638937829,10,0.023581775,0.014438807
1.566666667,5.085429257,2.638937829,10,0.023919283,0.02025051
1.583333333,5.085429257,2.638937829,10,0.024010736,0.005487147
1.6,5.085429257,2.638937829,10,0.024569105,0.03350218
1.616666667,5.085429257,2.638937829,10,0.025279412,0.042618394
1.633333333,5.085429257,2.638937829,10,0.025515907,0.014189684
1.65,5.085429257,2.638937829,10,0.025725612,0.01258232
1.666666667,5.085429257,2.638937829,10,0.026106073,0.022827655
1.683333333,5.085429257,2.638937829,10,0.026812895,0.042409305
1.7,5.085429257,2.638937829,10,0.026872585,0.003581402
1.716666667,5.085429257,2.638937829,10,0.027428747,0.033369719
1.733333333,5.085429257,2.638937829,10,0.027522808,0.005643668
1.75,5.085429257,2.638937829,10,0.027958099,0.026117504
1.766666667,5.085429257,2.638937829,10,0.028343589,0.023129385
1.783333333,5.085429257,2.638937829,10,0.028681379,0.020267362
1.8,5.085429257,2.638937829,10,0.029228332,0.032817215
1.816666667,5.085429257,2.638937829,10,0.029490027,0.015701689
1.833333333,5.085429257,2.638937829,10,0.030060137,0.0342066
1.85,5.085429257,2.638937829,10,0.03043265,0.022350797
1.866666667,5.085429257,2.638937829,10,0.030934832,0.030130936
1.883333333,5.085429257,2.638937829,10,0.031253047,0.019092898
1.9,5.085429257,2.638937829,10,0.031534383,0.016880158
1.916666667,5.085429257,2.638937829,10,0.032166659,0.037936532
1.933333333,5.085429257,2.638937829,10,0.0325949,0.025694465
1.95,5.085429257,2.638937829,10,0.033044413,0.02697078
1.966666667,5.085429257,2.638937829,10,0.033782799,0.044303157
1.983333333,5.085429257,2.638937829,10,0.033981733,0.011936043
2,5.085429257,2.638937829,10,0.034542235,0.033630119
2.016666667,5.085429257,2.638937829,10,0.035328101,0.047151962
